image,text
0.png,"پشاور،بنوں (نمائندہ جنگ،اے ایف پی) بنوں میں اقوام میراخیل اور"
1.png,اسکے ساتھ ملحقہ علاقے کے عوام نے بجلی و گیس
2.png,نے بجلی وگیس کی لوڈشیڈنگ کیخلاف مظاہرہ کیا۔ مظاہرین نے
3.png,نہیں آ یا۔ آخریہ کونسا مذہب ہے؟کیا اسلام کے نام
4.png,ضرور ہے۔ انہوں نے کہا کہ میرا احمدیوں سے کوئی
5.png,ڈالر کی قدر میں اضافہ ہوگیا تاہم یورپین ممالک کی
6.png,اہم کرنسیوں بشمول یورو اور برطانوی پاؤنڈ کی قدر میں
7.png,کمی ریکارڈ کی گئی۔ منگل کو امریکی ڈالر کی قیمت
8.png,فروخت اور قیمت خرید میں بالترتیب 21 پیسے اور 20
9.png,"پیسے کی تیزی رہی، تاہم یورو کی قیمت فروخت میں"
10.png,50 پیسے اور قیمت خرید میں 49 پیسے کی کمی
11.png,ریکارڈ کی گئی۔ اسی طرح برطانوی پاؤنڈ کی قدر میں
12.png,بھی 45 پیسے کی مندی رہی۔ نیشنل بینک آف پاکستان
13.png,سے جاری کردہ اعداد و شمار کے مطابق امریکی ڈالر
14.png,اپنی گزشتہ کاروباری روز کی قیمت فروخت 88.17 روپے سے
15.png,"تعلق نہیں، انہوں نے کہا کہ پولیس کو اپنی کارکردگی"
16.png,بڑھ کر 88.38 روپے اور قیمت خرید 85.97 روپے سے
17.png,بڑھ کر 86.17 روپے ہوگئی۔ دریں اثناء یورو کی قیمت
18.png,فروخت 124.93 روپے سے کم ہو کر 124.43 روپے اور
19.png,قیمت خرید 121.77 روپے سے کم ہو کر 121.28 روپے
20.png,ہوگئی۔ اسی طرح برطانوی پاؤنڈ کی قیمت فروخت بھی 142.69
21.png,روپے سے کم ہو کر 142.24 روپے اور قیمت خرید
22.png,139.11 روپے سے کم ہو کر 138.66 روپے پر بند
23.png,ہوئی۔
24.png,واشنگٹن (اے پی پی) ورلڈ بینک نے امید ظاہر کی
25.png,ہے کہ امریکہ کو ایک اور کساد بازاری کا سامنا
26.png,بہتر بنانی چاہئے کیونکہ وزیراعلیٰ پنجاب نے انکی تنخواہیں ڈبل
27.png,نہیں کرنا پڑے گا۔ ورلڈ بینک کے سربراہ رابرٹ زوئیلک
28.png,نے اپنے ایک بیان میں کہا ہے کہ انہیں اس
29.png,بات کا یقین ہے کہ امریکہ ایک اور کساد بازاری
30.png,کی لپیٹ میں نہیں آئے گا اور نہ ہی دنیا
31.png,کے دوسرے ممالک کو اس قسم کے بحران کا سامنا
32.png,ہو سکتا ہے۔ رابرٹ زوئیلک سنگاپور میں ایک اجلاس سے
33.png,خطاب کر رہے تھے جس میں ان سے امریکہ کی
