image,text,,,,,
0.png,"پشاور،بنوں (نمائندہ جنگ،اے ایف پی) بنوں میں اقوام میراخیل اور 
",,,,,
1.png,"اسکے ساتھ ملحقہ علاقے کے عوام نے بجلی و گیس 
",,,,,
2.png,"کی لوڈشیڈنگ کیخلاف مظاہرہ کیا۔ پولیس تشدد سے ایک نوجوان 
",,,,,
3.png,"منشور علی جاں بحق اور 2خواتین سمیت 14 افرادزخمی ہوگئے۔ 
",,,,,
4.png,"علاقے میں کرفیو نافذ کردیا گیا ہے۔ مکینوں نے الزام 
",,,,,
5.png,"لگایا کہ پولیس کی فائرنگ سے شہری ہلاک ہوا جبکہ 
",,,,,
6.png,"پولیس کا کہنا ہے کہ مظاہرین میں کسی نے ہم 
",,,,,
7.png,"پر براہ راست فائرنگ کی اور فائرنگ کے تبادلے کے 
",,,,,
8.png,"نتیجے میں ایک شہری ہلاک ہوگیا۔ تفصیلات کے مطابق بنوں 
",,,,,
9.png,"میں اقوام میراخیل اور اسکے ساتھ ملحقہ علاقے کے عوام 
",,,,,
10.png,"نے بجلی وگیس کی لوڈشیڈنگ کیخلاف مظاہرہ کیا۔ مظاہرین نے 
",,,,,
11.png,"مظاہرہ کے دورا ن بنوں ڈیرہ روڈ بلاک کردی اورسڑک 
",,,,,
12.png,"خالی کرنے سے انکار کردیا، مظاہرین کو روڈ سے ہٹانے 
",,,,,
13.png,"کیلئے پولیس نے مظاہرین پر لاٹھی چارج اور فائرنگ کی 
",,,,,
14.png,"جس سے ایک نوجوان منشور علی جاں بحق اور 2 
",,,,,
15.png,"خواتین سمیت 14 افراد زخمی ہوئے۔ زخمیوں کو قریبی اسپتال 
",,,,,
16.png,"منتقل کردیا گیا۔ ۔بنوں اور ڈیرہ اسماعیل خان ضلع کو 
",,,,,
17.png,"ملانے والی مرکزی شاہراہ پر کرفیو نافذ کردیا گیا ہے۔بنوں 
",,,,,
18.png,"میں تشدد اس وقت شروع ہوا جب 500کے لگ بھگ 
",,,,,
19.png,"مظاہرین نے مصروف شاہراہ بلاک کردی اور خالی کرنے سے 
",,,,,
20.png,"انکار کردیا۔مظاہرین نے شاہراہ کو 3گھنٹے تک بلاک رکھا۔پولیس کا 
",,,,,
21.png,"کہنا ہے کہ ایک شخص فائرنگ کے تبادلے کے نتیجے 
",,,,,
22.png,"میں جاں بحق ہوا جبکہ مکینوں کا الزام ہے کہ 
",,,,,
23.png,"مظاہرین میں سے ایک شخص پولیس کی فائرنگ سے ہلاک 
",,,,,
24.png,"ہوا ہے۔بنوں کے ایک پولیس افسر نے اے ایف پی 
",,,,,
25.png,"کو بتایاکہ پولیس نے مظاہرین کو منتشر کرنے کیلئے لاٹھی 
",,,,,
